Data Structure,Workload,Comparisons,Structural Ops,Inserts,Deletes,Lookups,Resize Events
list,workload_B_100,18278,93,100,0,200,0
list,workload_D_10000,916427090,9533,10000,0,60000,0
list,workload_C_40000,9889665,39848,20000,19851,60148,0
list,workload_A_1000,1911944,958,1000,0,2000,0
list,workload_C_20000,2709526,19916,10000,9920,30079,0
list,workload_D_20000,3669468186,19084,20000,0,120000,0
list,workload_C_1000,40111,986,500,487,1512,0
list,workload_D_1000,9212600,958,1000,0,6000,0
list,workload_A_10000,190724118,9533,10000,0,20000,0
list,workload_D_5000,229082142,4754,5000,0,30000,0
list,workload_A_5000,47572712,4754,5000,0,10000,0
list,workload_A_40000,3041026302,38003,40000,0,80000,0
list,workload_A_20000,763250918,19084,20000,0,40000,0
list,workload_C_10000,1512536,9915,5000,4918,15080,0
list,workload_D_100,90294,93,100,0,600,0
list,workload_B_10000,186279532,9533,10000,0,20000,0
list,workload_D_40000,14625174582,38003,40000,0,240000,0
list,workload_B_1000,1872146,958,1000,0,2000,0
list,workload_A_100,18654,93,100,0,200,0
list,workload_B_40000,2965133226,38003,40000,0,80000,0
list,workload_C_100,844,94,50,44,156,0
list,workload_B_5000,46339954,4754,5000,0,10000,0
list,workload_B_20000,746156172,19084,20000,0,40000,0
list,workload_C_5000,487402,4934,2500,2436,7564,0
array,workload_B_100,2717,8,100,0,100,4
array,workload_D_10000,24423368,20,10000,0,50000,10
array,workload_C_40000,2676824,10,20000,19852,40148,5
array,workload_A_1000,265746,14,1000,0,1000,7
array,workload_C_20000,910029,8,10000,9921,20079,4
array,workload_D_20000,94916227,22,20000,0,100000,11
array,workload_C_1000,22760,4,500,488,1012,2
array,workload_D_1000,349170,14,1000,0,5000,7
array,workload_A_10000,23320654,20,10000,0,10000,10
array,workload_D_5000,6416571,18,5000,0,25000,9
array,workload_A_5000,5905113,18,5000,0,5000,9
array,workload_A_40000,362721061,24,40000,0,40000,12
array,workload_A_20000,92551301,22,20000,0,20000,11
array,workload_C_10000,515287,8,5000,4920,10080,4
array,workload_D_100,10846,8,100,0,500,4
array,workload_B_10000,531409,20,10000,0,10000,10
array,workload_D_40000,367769799,24,40000,0,200000,12
array,workload_B_1000,40040,14,1000,0,1000,7
array,workload_A_100,5036,8,100,0,100,4
array,workload_B_40000,2444711,24,40000,0,40000,12
array,workload_C_100,1027,0,50,44,106,0
array,workload_B_5000,245708,18,5000,0,5000,9
array,workload_B_20000,1143024,22,20000,0,20000,11
array,workload_C_5000,190281,6,2500,2436,5064,3
hash,workload_B_100,464,826,100,0,100,5
hash,workload_D_10000,104888,148809,10000,0,50000,11
hash,workload_C_40000,60820,161215,20000,19852,40148,13
hash,workload_A_1000,4614,7558,1000,0,1000,8
hash,workload_C_20000,30690,80780,10000,9921,20079,12
hash,workload_D_20000,208846,297729,20000,0,100000,12
hash,workload_C_1000,1712,4198,500,488,1012,7
hash,workload_D_1000,9342,15558,1000,0,5000,8
hash,workload_A_10000,47326,68809,10000,0,10000,11
hash,workload_D_5000,51854,74361,5000,0,25000,10
hash,workload_A_5000,23750,34361,5000,0,5000,10
hash,workload_A_40000,189936,275593,40000,0,40000,13
hash,workload_A_20000,94378,137729,20000,0,20000,12
hash,workload_C_10000,15530,40651,5000,4920,10080,11
hash,workload_D_100,812,1626,100,0,500,5
hash,workload_B_10000,47728,68809,10000,0,10000,11
hash,workload_D_40000,416632,595593,40000,0,200000,13
hash,workload_B_1000,4588,7558,1000,0,1000,8
hash,workload_A_100,470,826,100,0,100,5
hash,workload_B_40000,191412,275593,40000,0,40000,13
hash,workload_C_100,186,424,50,44,106,4
hash,workload_B_5000,24036,34361,5000,0,5000,10
hash,workload_B_20000,94960,137729,20000,0,20000,12
hash,workload_C_5000,7898,20525,2500,2436,5064,10
bst,workload_B_100,27290,93,100,0,100,0
bst,workload_D_10000,2903583,9533,10000,0,50000,0
bst,workload_C_40000,1749928,39848,20000,19852,40151,0
bst,workload_A_1000,59425,958,1000,0,1000,0
bst,workload_C_20000,754941,19916,10000,9921,20080,0
bst,workload_D_20000,6289739,19084,20000,0,100000,0
bst,workload_C_1000,26849,986,500,488,1014,0
bst,workload_D_1000,207981,958,1000,0,5000,0
bst,workload_A_10000,848392,9533,10000,0,10000,0
bst,workload_D_5000,1335708,4754,5000,0,25000,0
bst,workload_A_5000,386653,4754,5000,0,5000,0
bst,workload_A_40000,3990752,38003,40000,0,40000,0
bst,workload_A_20000,1849880,19084,20000,0,20000,0
bst,workload_C_10000,345581,9915,5000,4920,10083,0
bst,workload_D_100,12961,93,100,0,500,0
bst,workload_B_10000,285810808,9533,10000,0,10000,0
bst,workload_D_40000,13530407,38003,40000,0,200000,0
bst,workload_B_1000,2888316,958,1000,0,1000,0
bst,workload_A_100,3417,93,100,0,100,0
bst,workload_B_40000,4558146316,38003,40000,0,40000,0
bst,workload_C_100,1002,94,50,44,106,0
bst,workload_B_5000,71419392,4754,5000,0,5000,0
bst,workload_B_20000,1144278728,19084,20000,0,20000,0
bst,workload_C_5000,152449,4934,2500,2436,5064,0
heap,workload_B_100,100,100,100,0,100,0
heap,workload_D_10000,50000,10000,10000,0,50000,0
heap,workload_A_1000,1000,1000,1000,0,1000,0
heap,workload_D_20000,100000,20000,20000,0,100000,0
heap,workload_D_1000,5000,1000,1000,0,5000,0
heap,workload_A_10000,10000,10000,10000,0,10000,0
heap,workload_D_5000,25000,5000,5000,0,25000,0
heap,workload_A_5000,5000,5000,5000,0,5000,0
heap,workload_A_40000,40000,40000,40000,0,40000,0
heap,workload_A_20000,20000,20000,20000,0,20000,0
heap,workload_D_100,500,100,100,0,500,0
heap,workload_B_10000,10000,10000,10000,0,10000,0
heap,workload_D_40000,200000,40000,40000,0,200000,0
heap,workload_B_1000,1000,1000,1000,0,1000,0
heap,workload_A_100,100,100,100,0,100,0
heap,workload_B_40000,40000,40000,40000,0,40000,0
heap,workload_B_5000,5000,5000,5000,0,5000,0
heap,workload_B_20000,20000,20000,20000,0,20000,0
